timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1013464851177,127,23,-5,-18,-94,-109,-90,-36
1013464872807,-35,-44,-4,-13,55,84,54,23
1013464872807,76,78,25,31,80,16,-64,75
1013464874289,-118,-125,-40,-41,-98,-31,39,-105
1013464874289,122,126,15,43,47,-93,122,70
1013464885710,-82,-64,0,8,-8,-19,49,-8
1013464885710,3,9,2,-15,-45,-60,0,36
1013464894635,99,-28,-3,-33,-67,-94,-92,100
1013464894635,-127,12,12,39,117,127,-78,-84
1013464909682,118,13,3,5,-41,-94,47,123
1013464909682,17,-1,19,10,26,29,-26,-51
1013464911093,46,-3,23,30,102,93,-63,16
1013464911093,-62,-1,-38,-36,-128,-111,38,-39
1013464932082,21,28,17,20,78,127,114,71
1013464932082,-99,-13,22,-5,-74,-93,48,-56
1013464933677,31,23,-23,-33,-34,111,-58,-90
1013464933677,127,64,24,45,104,13,110,127
1013464945779,-48,-11,-5,1,57,112,-61,-111
1013464945779,127,22,-25,-8,-73,-53,127,102
1013464954705,-107,-99,20,13,0,-57,60,-82
1013464954705,-28,66,2,14,47,-31,0,44
1013464969585,3,-120,-21,-35,-47,65,-108,-61
1013464969585,14,37,12,29,76,46,-53,-80
1013464971180,-33,-4,3,-10,-85,-82,-20,102
1013464971180,89,-49,2,-14,-30,14,22,-22
1013464999757,31,80,2,-22,-26,35,88,81
1013464999757,36,-81,9,30,77,43,-99,-21
1013465001318,-80,42,-17,9,52,115,78,-2
1013465001318,-28,63,-7,-41,-84,-19,-128,-113
1013465005801,68,-32,-33,15,28,-128,78,58
1013465005801,-28,-74,9,7,-9,11,15,-90
1013465014715,-36,-20,-2,17,31,-80,-73,9
1013465014715,74,-42,3,-33,-78,-17,-62,70
1013465029641,17,34,1,3,31,-4,19,-1
1013465029641,-121,11,-24,-25,-1,12,57,88
1013465031114,81,82,26,69,116,1,54,6
1013465031114,-49,-66,-8,-43,-71,-8,64,-39
1013465052143,127,33,14,-8,-49,-77,-128,-16
1013465052143,68,59,-7,14,64,76,119,81
1013465053719,-92,-128,6,-11,-20,3,78,0
1013465053719,-61,69,-5,-19,-22,116,-104,-49
1013465065729,-4,45,15,33,14,-96,41,-48
1013465065729,7,33,-6,-28,-20,-65,-60,-40
1013465074728,-1,-14,-15,-12,-77,-11,-123,-56
1013465074728,89,-15,-15,7,67,4,18,74
1013465089530,-36,-44,19,38,78,127,-56,25
1013465089530,65,21,3,-38,-98,-14,1,-43
1013465091125,60,11,-16,-39,-64,18,-16,-34
1013465091125,-83,3,20,20,22,-81,-40,9
1013465112131,-67,-60,-15,5,31,12,31,82
1013465112131,63,51,10,30,35,17,27,47
1013465113799,28,-21,-18,-8,-8,74,-59,-91
1013465113799,-7,27,17,24,12,15,81,50
1013465125741,11,-6,26,-15,4,102,-11,3
1013465125741,-93,-27,-14,-7,-27,2,-53,-76
1013465134712,58,8,-6,-15,16,61,102,80
1013465134712,15,86,-4,29,81,11,-39,8
1013465149690,10,-67,-10,-19,-17,-26,-43,19
1013465149690,-44,-69,-7,-8,-22,-2,60,23
1013465151169,-22,45,10,-15,-67,-113,-109,-39
1013465151169,21,-20,-10,-7,-19,7,27,-60
1013465172166,-16,13,-7,-1,-18,26,80,-13
1013465172166,-54,21,-4,0,17,47,4,-38
1013465173658,-15,-14,-4,14,59,42,103,40
1013465173658,81,-30,5,3,7,-28,18,42
1013465185831,-18,16,-2,-8,-8,39,-75,-55
1013465185831,68,-5,-4,-10,-48,-74,111,93
1013465194653,-27,17,0,-3,-3,27,-47,-58
1013465194653,-108,-45,8,30,104,100,-13,-16
1013465209557,58,60,-3,-4,-94,-87,21,61
1013465209557,-89,-47,-11,-31,-66,-56,-52,52
1013465211110,74,1,8,5,-12,45,5,47
1013465211110,-70,-22,-7,6,28,31,1,-16
1013465231969,-47,7,-5,-20,26,34,19,-41
1013465231969,9,20,9,25,80,15,17,11
1013465233602,40,93,-3,1,7,21,42,33
1013465233602,-51,-84,-22,-28,-74,-43,-47,32
1013465254735,14,18,0,5,-19,-5,-3,-59
1013465254735,56,19,5,6,-2,38,-8,17
1013465256138,-94,-14,-17,15,95,72,-8,23
1013465256138,90,42,9,27,24,72,111,85
1013465268634,-62,-99,14,-11,-32,-74,122,0
1013465268634,48,33,-13,-45,-83,68,-78,-55
1013465277225,35,27,18,33,84,58,29,40
1013465277225,-43,-13,-11,-16,-24,-25,-11,-30
1013465292118,114,41,-6,5,22,8,80,51
1013465292118,-116,-77,11,36,105,106,87,-9
1013465293662,37,-19,-20,-29,-105,-106,-70,-13
1013465293662,-72,0,-5,-41,-71,-42,10,25
1013465314645,90,11,15,11,74,122,-67,-66
